EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_CA_GreatValley7_Loc003_01_R02500_FFE,9.00939E+18,64171,15452827320,1166003795,1127486500,1127486500,1127486500,3.01121E-05
KCC_RICE_US_CA_Northridge_Loc001_01_R05000_FFE,9.00939E+18,398395,96111832130,37244517.15,28221676.77,28221676.77,28221676.77,3.33578E-05
KCC_RICE_US_CA_Elsinore(GlenIvy)rev_Loc001_01_R05000_FFE,9.00939E+18,175486,41363717820,6712987508,6665481778,6665481778,6665481778,2.36461E-05
KCC_RICE_US_CA_SanAndreas(Coachella)rev_Loc003_01_R02500_FFE,9.00939E+18,685942,1.81124E+11,32358832073,31929877409,31929877409,31929877409,1.40657E-05
KCC_RICE_US_CA_SantaSusanaEast(connector)_Loc003_01_R05000_FFE,9.00939E+18,39047,8926088200,1907365680,1877389580,1877389580,1877389580,7.83962E-06
KCC_RICE_US_CA_Cucamonga_Loc001_01_R02500_FFE,9.00939E+18,36894,8844499660,1960818.307,1646480.87,1646480.87,1646480.87,9.77266E-05
KCC_RICE_US_CA_Verdugo_Loc001_01_R05000_FFE,9.00939E+18,504940,1.67725E+11,10261267781,10067026183,10067026183,10067026183,3.82207E-05
"KCC_RICE_US_CA_Whittier,alt2_Loc001_01_R02500_FFE",9.00939E+18,359305,1.08387E+11,550183925.5,515474933.8,515474933.8,515474933.8,3.61731E-05
KCC_RICE_US_CA_NorthFrontal(East)_Loc001_01_R05000_FFE,9.00939E+18,25710,5924643440,1110913028,1089765992,1089765992,1089765992,0.000179717
KCC_RICE_US_CA_Simi-SantaRosa_Loc003_01_R02500_FFE,9.00939E+18,70494,24371220660,133236768.7,127008802.7,127008802.7,127008802.7,8.0464E-05
KCC_RICE_US_CA_SanJoaquinHills_Loc002_01_R05000_FFE,9.00939E+18,70557,29452973210,791372361.6,775389850.3,775389850.3,775389850.3,5.21156E-05
"KCC_RICE_US_CA_SantaMonica,alt1_Loc003_01_R02500_FFE",9.00939E+18,204428,98223040140,919627556.5,888138888.2,888138888.2,888138888.2,6.40584E-05
KCC_RICE_US_CA_PuenteHills(CoyoteHills)_Loc003_01_R02500_FFE,9.00939E+18,371360,1.33794E+11,119620555.1,104355071.5,104355071.5,104355071.5,2.11292E-05
KCC_RICE_US_CA_PuenteHills(LA)_Loc001_02_R02500_FFE,9.00939E+18,532424,1.87443E+11,412664908,348679350.5,348679350.5,348679350.5,5.84456E-06
"KCC_RICE_US_CA_Newport-Inglewood,alt1_Loc001_06_R01000_FFE",9.00939E+18,135503,57040338100,24063090.77,18857530.53,18857530.53,18857530.53,0.000129428
"KCC_RICE_US_CA_Newport-Inglewood,alt2_Loc001_07_R01000_FFE",9.00939E+18,53968,29419443020,4740906.592,3291206.438,3291206.438,3291206.438,7.54628E-05
KCC_RICE_US_CA_PalosVerdes_Loc002_09_R00500_FFE,9.00939E+18,92787,45063338730,4294310.147,3203107.607,3203107.607,3203107.607,3.39007E-05
KCC_RICE_US_CA_PeraltaHills_Loc003_01_R05000_FFE,9.00939E+18,132916,45068352120,27758158.82,21917022.57,21917022.57,21917022.57,0.0000156
KCC_RICE_US_CA_SanAndreas(NorthCoast)_Loc003_01_R05000_FFE,9.00939E+18,148440,1.29181E+11,1043323715,1015125857,1015125857,1015125857,1.5132E-05
KCC_RICE_US_CA_SanAndreas(SantaCruzMts)_Loc001_01_R01000_FFE,9.00939E+18,994005,5.04527E+11,19468522202,19125213287,19125213287,19125213287,4.05419E-05
KCC_RICE_US_CA_Hayward(No)_Loc002_01_R05000_FFE,9.00939E+18,96674,30627952830,69503460.28,61813928.6,61813928.6,61813928.6,1.90717E-05
KCC_RICE_US_CA_SanAndreas(Peninsula)_Loc002_01_R00500_FFE,9.00939E+18,2873497,1.55746E+12,3.63987E+11,3.616E+11,3.616E+11,3.616E+11,0.000158175
KCC_RICE_US_CA_MontereyBay-Tularcitos_Loc001_02_R02500_FFE,9.00939E+18,67165,24202156288,2647638739,2601683380,2601683380,2601683380,4.82028E-05
KCC_RICE_US_CA_Hayward(So)_Loc003_01_R00500_FFE,9.00939E+18,45560,28291293280,5105705476,5064482053,5064482053,5064482053,0.000208667
KCC_RICE_US_CA_Background1026_Loc001_70_R00100_FFE,9.00939E+18,234837,57117405380,295487820,264383083.2,264383083.2,264383083.2,9.4282E-06
KCC_RICE_US_CA_Background1146_Loc001_72_R00250_FFE,9.00939E+18,51112,14328086280,7638999.155,5731726.188,5731726.188,5731726.188,5.97198E-06
KCC_RICE_US_CA_Background1225_Loc001_72_R00250_FFE,9.00939E+18,34659,12692000680,38579906,33316000,33316000,33316000,6.50634E-06
KCC_RICE_US_CA_Background1272_Loc001_70_R00100_FFE,9.00939E+18,1390,820963050,72611.8492,58992.921,58992.921,58992.921,2.36323E-05
KCC_RICE_US_CA_Background1231_Loc001_74_R01000_FFE,9.00939E+18,27365,5803754310,1954049126,1934113594,1934113594,1934113594,2.07342E-06
KCC_RICE_US_CA_Background1305_Loc001_70_R00100_FFE,9.00939E+18,22908,6223179710,21798934.13,19675392.27,19675392.27,19675392.27,1.20628E-05
KCC_RICE_US_CA_Background1365_Loc001_74_R01000_FFE,9.00939E+18,43683,13079479400,60712845.1,51703316.4,51703316.4,51703316.4,2.16471E-06
KCC_RICE_US_CA_Background1452_Loc001_74_R01000_FFE,9.00939E+18,387762,94658263910,416163341.7,369364045.5,369364045.5,369364045.5,1.26197E-05
KCC_RICE_US_CA_Background1531_Loc001_74_R01000_FFE,9.00939E+18,141171,39219963460,18100893.36,13946895.78,13946895.78,13946895.78,3.72462E-06
KCC_RICE_US_CA_Background1606_Loc001_68_R00050_FFE,9.00939E+18,315883,2.68867E+11,2598577347,2532953929,2532953929,2532953929,5.52806E-05
KCC_RICE_US_CA_Background1632_Loc001_73_R00500_FFE,9.00939E+18,53167,12223503920,157011361.2,144392915.9,144392915.9,144392915.9,3.23973E-06
KCC_RICE_US_CA_Background1666_Loc001_72_R00250_FFE,9.00939E+18,17988,4034004500,605567.646,446781.54,446781.54,446781.54,6.28477E-06
KCC_RICE_US_CA_Background1673_Loc001_68_R00050_FFE,9.00939E+18,45560,28291293280,3632877969,3594308436,3594308436,3594308436,4.33008E-05
KCC_RICE_US_CA_Background1736_Loc001_70_R00100_FFE,9.00939E+18,112795,21099877800,890121547.4,855194048.2,855194048.2,855194048.2,1.46593E-05
KCC_RICE_US_CA_Background1883_Loc001_73_R00500_FFE,9.00939E+18,132208,32946812520,1993189204,1955573182,1955573182,1955573182,4.6217E-06
KCC_RICE_US_CA_Background2026_Loc001_72_R00250_FFE,9.00939E+18,455069,1.36051E+11,1271158085,1186251535,1186251535,1186251535,7.67931E-06
KCC_RICE_US_CA_Background2079_Loc001_72_R00250_FFE,9.00939E+18,1055895,4.03394E+11,8164311387,7945461837,7945461837,7945461837,1.32183E-05
