EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_NE_Background1456_Loc001_65_R01000,9.00938E+18,13,16289160,0,0,0,0,2.03077E-06
KCC_RICE_US_NE_Background1489_Loc001_65_R01000,9.00938E+18,13,16289160,0,0,0,0,2.73846E-06
KCC_RICE_US_NE_Background1542_Loc001_65_R01000,9.00938E+18,13,16289160,0,0,0,0,9.84615E-07
KCC_RICE_US_NE_Background1563_Loc001_65_R01000,9.00938E+18,166,101888350,0,0,0,0,5.53846E-07
KCC_RICE_US_NE_Background1567_Loc001_65_R01000,9.00938E+18,487,743109210,0,0,0,0,9.53846E-07
KCC_RICE_US_NE_Background1571_Loc001_65_R01000,9.00938E+18,784,1283779988,0,0,0,0,6.15385E-07
KCC_RICE_US_NE_Background1579_Loc001_65_R01000,9.00938E+18,189,523497720,0,0,0,0,0.0000028
KCC_RICE_US_NE_Background1600_Loc001_65_R01000,9.00938E+18,2077,3740977560,0,0,0,0,6.15385E-07
KCC_RICE_US_NE_Background1604_Loc001_65_R01000,9.00938E+18,3752,7120628107,0,0,0,0,0.0000016
KCC_RICE_US_NE_Background1608_Loc001_65_R01000,9.00938E+18,522,1025722407,0,0,0,0,2.58462E-06
KCC_RICE_US_NE_Background1616_Loc001_65_R01000,9.00938E+18,726,1313115937,0,0,0,0,2.06154E-06
KCC_RICE_US_SE_Background3_Loc001_55_R00050,9.00938E+18,517647,2.40895E+11,872140668.1,676283315.8,676283315.8,676283315.8,7.23373E-06
KCC_RICE_US_SE_Background7_Loc001_55_R00050,9.00938E+18,878465,3.26489E+11,97233897.35,60357003.02,60357003.02,60357003.02,5.11583E-06
KCC_RICE_US_SE_Background11_Loc001_55_R00050,9.00938E+18,1083673,4.45902E+11,417240587.3,286132912.2,286132912.2,286132912.2,3.10431E-06
KCC_RICE_US_SE_Background19_Loc001_55_R00050,9.00938E+18,758580,2.99121E+11,489505683.4,341992875.1,341992875.1,341992875.1,6.80821E-06
KCC_RICE_US_SE_Background40_Loc001_55_R00050,9.00938E+18,2009739,7.19741E+11,9503970576,7464926016,7464926016,7464926016,8.60697E-07
