EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_IMW_Alamogordofault35_Loc003_14_R02500,9.00938E+18,11907,25583495140,0,0,0,0,0.000001429
KCC_RICE_US_IMW_Alamogordofault50_Loc001_07_R05000,9.00938E+18,22130,44010031520,0,0,0,0,0.0000075
KCC_RICE_US_IMW_Alamogordofault50_Loc001_08_R05000,9.00938E+18,262074,81001659960,191369.95,0,0,0,0.0000075
KCC_RICE_US_IMW_Alamogordofault50_Loc002_08_R05000,9.00938E+18,285766,86266646220,268470.793,0,0,0,0.00000375
KCC_RICE_US_IMW_Alamogordofault65_Loc001_08_R05000,9.00938E+18,262074,81001659960,191369.95,0,0,0,0.0000025
KCC_RICE_US_IMW_Alamogordofault65_Loc001_14_R02500,9.00938E+18,8183,19148362000,0,0,0,0,0.000002857
KCC_RICE_US_IMW_Alamogordofault65_Loc002_06_R05000,9.00938E+18,19380,39617561620,0,0,0,0,0.00000125
KCC_RICE_US_IMW_Amargosafault35_Loc002_01_R05000,9.00938E+18,517979,1.12046E+11,2010353.431,497643.774,497643.774,497643.774,4.35328E-06
KCC_RICE_US_IMW_Amargosafault35_Loc002_03_R05000,9.00938E+18,759742,1.58505E+11,27385010.26,4619050.566,4619050.566,4619050.566,4.35328E-06
KCC_RICE_US_IMW_Amargosafault50_Loc003_01_R05000,9.00938E+18,524550,1.13122E+11,2146090.662,492672.006,492672.006,492672.006,1.30611E-05
KCC_RICE_US_IMW_Amargosafault65_Loc003_03_R05000,9.00938E+18,759829,1.58675E+11,84316146.29,54359485.35,54359485.35,54359485.35,4.35328E-06
KCC_RICE_US_IMW_Background10009_Loc001_72_R01000,9.00938E+18,450,574376102,0,0,0,0,1.03515E-07
KCC_RICE_US_IMW_Background10011_Loc001_72_R01000,9.00938E+18,624,887599489,0,0,0,0,1.03515E-07
KCC_RICE_US_IMW_Background10013_Loc001_72_R01000,9.00938E+18,15015,2955989006,27752.3209,721.0549,721.0549,721.0549,1.03515E-07
KCC_RICE_US_IMW_Background10016_Loc001_65_R00050,9.00938E+18,57338,9037502230,76953.1756,834.4649,834.4649,834.4649,2.50756E-07
KCC_RICE_US_IMW_Background10018_Loc001_72_R01000,9.00938E+18,87931,19833122895,624924.6142,93132.6333,93132.6333,93132.6333,1.03515E-07
KCC_RICE_US_IMW_Background10084_Loc001_71_R00500,9.00938E+18,28,15054924,0,0,0,0,1.09472E-07
KCC_RICE_US_IMW_Background10092_Loc001_71_R00500,9.00938E+18,18154,7870213423,70530.7547,16207.713,16207.713,16207.713,2.73679E-08
KCC_RICE_US_IMW_Background10094_Loc001_71_R00500,9.00938E+18,37043,10456675721,116605.3548,29908.9095,29908.9095,29908.9095,2.73679E-08
KCC_RICE_US_IMW_Background10098_Loc001_70_R00250,9.00938E+18,2514,3088919168,4240.883,1113.731,1113.731,1113.731,4.47173E-07
KCC_RICE_US_IMW_Background10099_Loc001_71_R00500,9.00938E+18,59095,15807935912,506903.5731,123232.638,123232.638,123232.638,2.73679E-08
KCC_RICE_US_IMW_Background10102_Loc001_70_R00250,9.00938E+18,40865,9847569823,199113.6899,39669.3899,39669.3899,39669.3899,1.39742E-07
KCC_RICE_US_IMW_Background10105_Loc001_70_R00250,9.00938E+18,71245,15259380183,2208742.731,377586.4135,377586.4135,377586.4135,8.3845E-08
KCC_RICE_US_IMW_Background10110_Loc001_68_R00100,9.00938E+18,1325,213317125,2803.541,0,0,0,4.8608E-07
KCC_RICE_US_IMW_Background10116_Loc001_68_R00100,9.00938E+18,11743,5982093097,160830.6276,31312.5828,31312.5828,31312.5828,3.70347E-07
KCC_RICE_US_IMW_Background10118_Loc001_72_R01000,9.00938E+18,450,574376102,0,0,0,0,1.03515E-07
KCC_RICE_US_IMW_Background10129_Loc001_72_R01000,9.00938E+18,111519,25376632668,3224231.012,499898.6821,499898.6821,499898.6821,1.03516E-09
KCC_RICE_US_IMW_Background10183_Loc001_65_R00050,9.00938E+18,55558,8856588036,120761.256,0,0,0,2.50756E-07
KCC_RICE_US_IMW_Background1019_Loc001_71_R00500,9.00938E+18,58121,15821594496,50378.21,0,0,0,1.09472E-07
KCC_RICE_US_IMW_Background10209_Loc001_71_R00500,9.00938E+18,3420,4194274652,1031.5661,0,0,0,5.47359E-08
KCC_RICE_US_IMW_Background10217_Loc001_71_R00500,9.00938E+18,41579,11331362628,182247.435,49691.0983,49691.0983,49691.0983,2.73679E-08
KCC_RICE_US_IMW_Background10222_Loc001_70_R00250,9.00938E+18,43613,11276588153,294773.8354,84774.6401,84774.6401,84774.6401,8.3845E-08
KCC_RICE_US_IMW_Background10229_Loc001_72_R01000,9.00938E+18,4522,1623970936,6958.3358,0,0,0,1.03515E-07
KCC_RICE_US_IMW_Background10237_Loc001_72_R01000,9.00938E+18,126804,27330949908,3135449.682,448211.6035,448211.6035,448211.6035,1.03516E-09
KCC_RICE_US_IMW_Background10244_Loc001_68_R00100,9.00938E+18,10,13982690,0,0,0,0,1.20363E-06
KCC_RICE_US_IMW_Background10252_Loc001_68_R00100,9.00938E+18,6112,3661937968,27922.8,7600.431,7600.431,7600.431,4.39787E-07
KCC_RICE_US_IMW_Background10254_Loc001_68_R00100,9.00938E+18,9412,5396949010,84052.2509,18909.988,18909.988,18909.988,3.93494E-07
KCC_RICE_US_IMW_Background10327_Loc001_71_R00500,9.00938E+18,22,8870513,0,0,0,0,1.09472E-07
KCC_RICE_US_IMW_Background10331_Loc001_71_R00500,9.00938E+18,2924,4131440426,592.1954,0,0,0,2.73679E-08
KCC_RICE_US_IMW_Background10336_Loc001_70_R00250,9.00938E+18,2514,3088919168,2177.75,0,0,0,4.47173E-07
KCC_RICE_US_IMW_Background10337_Loc001_72_R01000,9.00938E+18,6779,1946512397,17769.3894,3178.234,3178.234,3178.234,1.03516E-09
KCC_RICE_US_IMW_Background10339_Loc001_70_R00250,9.00938E+18,30885,7810907311,70099.8969,3385.8306,3385.8306,3385.8306,1.11793E-07
KCC_RICE_US_IMW_Background10340_Loc001_70_R00250,9.00938E+18,40954,9180990273,154183.3103,33743.7974,33743.7974,33743.7974,1.11793E-07
KCC_RICE_US_IMW_Background10342_Loc001_71_R00500,9.00938E+18,61573,15357127792,834426.2636,143871.7628,143871.7628,143871.7628,2.73679E-08
KCC_RICE_US_IMW_Background10342_Loc001_72_R01000,9.00938E+18,92468,20394143990,615322.2059,97691.8092,97691.8092,97691.8092,1.03516E-09
KCC_RICE_US_IMW_Background10383_Loc001_68_R00100,9.00938E+18,10,13982690,0,0,0,0,1.20363E-06
KCC_RICE_US_IMW_Background10386_Loc001_68_R00100,9.00938E+18,52,43163225,0,0,0,0,9.25867E-07
KCC_RICE_US_IMW_Background10388_Loc001_68_R00100,9.00938E+18,1327,214637350,5459.527,1433.935,1433.935,1433.935,5.32374E-07
KCC_RICE_US_IMW_Background10392_Loc001_68_R00100,9.00938E+18,7672,4009739353,53190.4091,12332.992,12332.992,12332.992,4.1664E-07
KCC_RICE_US_IMW_Background10442_Loc001_72_R01000,9.00938E+18,3857,1547418436,6404.114,0,0,0,1.03515E-07
KCC_RICE_US_IMW_Background10445_Loc001_72_R01000,9.00938E+18,29198,9751967719,85288.0285,16165.105,16165.105,16165.105,1.03516E-09
