EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_NE_Background1342_Loc001_55_R00100_FFE,9.00939E+18,75647,27023488354,10613527241,10521960297,10521960297,10521960297,6.89192E-06
KCC_RICE_US_NE_Background2040_Loc001_55_R00100_FFE,9.00939E+18,99429,40163207020,9328179536,9253243908,9253243908,9253243908,3.68388E-06
KCC_RICE_US_NE_Background2558_Loc001_55_R00100_FFE,9.00939E+18,293102,95208439997,36574423556,36306481812,36306481812,36306481812,2.08753E-06
KCC_RICE_US_NE_Background2480_Loc001_55_R00100_FFE,9.00939E+18,266166,78541809280,20726640224,20507453377,20507453377,20507453377,2.08753E-06
KCC_RICE_US_NE_Background2766_Loc001_55_R00100_FFE,9.00939E+18,32871,11846675420,1122590524,1101158754,1101158754,1101158754,4.72765E-06
KCC_RICE_US_NE_Background2776_Loc001_55_R00100_FFE,9.00939E+18,84244,21871067090,6965080761,6890626630,6890626630,6890626630,4.6816E-06
KCC_RICE_US_NE_Background2711_Loc001_55_R00100_FFE,9.00939E+18,1864,575987740,140185373,138746542,138746542,138746542,2.31777E-06
KCC_RICE_US_NE_Background2544_Loc001_55_R00100_FFE,9.00939E+18,3171,1472637910,920215609,915027295,915027295,915027295,4.7123E-06
KCC_RICE_US_NE_Background2655_Loc001_55_R00100_FFE,9.00939E+18,23000,7365566160,3726830070,3704250200,3704250200,3704250200,1.07446E-06
KCC_RICE_US_NE_Background3044_Loc001_55_R00100_FFE,9.00939E+18,57730,14015991470,307936053,299099698,299099698,299099698,1.76519E-06
KCC_RICE_US_NE_Background2850_Loc001_55_R00100_FFE,9.00939E+18,201302,48117384380,10110060426,9995952140,9995952140,9995952140,4.6816E-06
KCC_RICE_US_NE_Background3072_Loc001_55_R00100_FFE,9.00939E+18,20463,7394809700,750962947.3,740776171.4,740776171.4,740776171.4,4.95789E-06
KCC_RICE_US_NE_Background2970_Loc001_55_R00100_FFE,9.00939E+18,190807,57283017480,13462812956,13345124447,13345124447,13345124447,1.82659E-06
KCC_RICE_US_NE_Background2924_Loc001_55_R00100_FFE,9.00939E+18,101611,26455596660,3217504140,3141457070,3141457070,3141457070,4.40531E-06
KCC_RICE_US_NE_Background3150_Loc001_55_R00100_FFE,9.00939E+18,49544,21497181300,2270695464,2252722850,2252722850,2252722850,4.38996E-06
KCC_RICE_US_NE_Background3067_Loc001_55_R00100_FFE,9.00939E+18,141250,43813865170,12132520600,12039789721,12039789721,12039789721,3.72993E-06
KCC_RICE_US_NE_Background2998_Loc001_55_R00100_FFE,9.00939E+18,10317,1890255430,1305199314,1296693142,1296693142,1296693142,3.57643E-06
KCC_RICE_US_NE_Background3146_Loc001_55_R00100_FFE,9.00939E+18,31092,14033930160,3158371888,3132571947,3132571947,3132571947,3.25409E-06
KCC_RICE_US_NE_Background2896_Loc001_55_R00100_FFE,9.00939E+18,108186,29715963520,12207239762,12107917169,12107917169,12107917169,1.94939E-06
KCC_RICE_US_NE_Background2993_Loc001_55_R00100_FFE,9.00939E+18,131977,38328445980,2447076930,2403469547,2403469547,2403469547,4.63555E-06
KCC_RICE_US_NE_Background2919_Loc001_55_R00100_FFE,9.00939E+18,67326,20856523920,2229196683,2189702219,2189702219,2189702219,4.89649E-06
KCC_RICE_US_NE_Background3543_Loc001_55_R00100_FFE,9.00939E+18,132842,43652488020,9386569737,9316488740,9316488740,9316488740,1.4889E-06
KCC_RICE_US_NE_Background3303_Loc001_55_R00100_FFE,9.00939E+18,28226,10076888800,683742960,665329680,665329680,665329680,2.47127E-06
KCC_RICE_US_NE_Background3229_Loc001_55_R00100_FFE,9.00939E+18,177530,65098675220,18892111405,18788259526,18788259526,18788259526,4.38996E-06
KCC_RICE_US_NE_Background3548_Loc001_55_R00100_FFE,9.00939E+18,400890,1.73448E+11,41562499050,41296396312,41296396312,41296396312,2.40987E-06
KCC_RICE_US_NE_Background3372_Loc001_55_R00100_FFE,9.00939E+18,18408,7875455500,743772210,725899360,725899360,725899360,1.05912E-06
KCC_RICE_US_NE_Background3802_Loc001_55_R00100_FFE,9.00939E+18,22889,6083066520,2837920946,2812194452,2812194452,2812194452,1.38145E-06
KCC_RICE_US_NE_Background3668_Loc001_55_R00100_FFE,9.00939E+18,46949,10708504082,4498970106,4449023258,4449023258,4449023258,5.37232E-07
KCC_RICE_US_NE_Background3997_Loc001_55_R00100_FFE,9.00939E+18,83613,28612266400,10338283510,10251360220,10251360220,10251360220,2.40987E-06
KCC_RICE_US_NE_Background3631_Loc001_55_R00100_FFE,9.00939E+18,113871,51034241400,20586762506,20475333674,20475333674,20475333674,2.11823E-06
KCC_RICE_US_NE_Background3812_Loc001_55_R00100_FFE,9.00939E+18,38366,11905745400,4850877177,4817650333,4817650333,4817650333,2.62476E-06
KCC_RICE_US_NE_Background3807_Loc001_55_R00100_FFE,9.00939E+18,109295,39384138780,16667250672,16573062871,16573062871,16573062871,1.85729E-06
KCC_RICE_US_NE_Background3627_Loc001_55_R00100_FFE,9.00939E+18,19388,6112589180,1009518274,995814572.6,995814572.6,995814572.6,1.36611E-06
KCC_RICE_US_NE_Background3636_Loc001_55_R00100_FFE,9.00939E+18,62116,20201459780,4574378885,4530867104,4530867104,4530867104,3.0392E-06
KCC_RICE_US_NE_Background3992_Loc001_55_R00100_FFE,9.00939E+18,65063,16742094040,3346557380,3286167430,3286167430,3286167430,2.14893E-06
KCC_RICE_US_NE_Background3886_Loc001_55_R00100_FFE,9.00939E+18,17913,17873544040,6604799550,6586456050,6586456050,6586456050,1.76519E-06
KCC_RICE_US_NE_Background4177_Loc001_55_R00100_FFE,9.00939E+18,149421,38062820200,9814228101,9693518759,9693518759,9693518759,2.47127E-06
KCC_RICE_US_NE_Background4071_Loc001_55_R00100_FFE,9.00939E+18,148233,66045293000,6887199874,6793298005,6793298005,6793298005,1.96474E-06
KCC_RICE_US_NE_Background4186_Loc001_55_R00100_FFE,9.00939E+18,37630,12495052731,4839852976,4807486102,4807486102,4807486102,1.41215E-06
KCC_RICE_US_NE_Background4182_Loc001_55_R00100_FFE,9.00939E+18,8853,2735689620,1851636095,1842984513,1842984513,1842984513,2.07218E-06
KCC_RICE_US_NE_Background4256_Loc001_55_R00100_FFE,9.00939E+18,93409,24684014620,11661787945,11574856033,11574856033,11574856033,2.34847E-06
KCC_RICE_US_NE_Background4260_Loc001_55_R00100_FFE,9.00939E+18,40425,15317877740,3799886044,3762518581,3762518581,3762518581,2.37917E-06
KCC_RICE_US_NE_Background4441_Loc001_55_R00100_FFE,9.00939E+18,73249,17982372770,8908256946,8829178140,8829178140,8829178140,2.39452E-06
KCC_RICE_US_NE_Background4700_Loc001_55_R00100_FFE,9.00939E+18,262099,89306759820,23840927802,23580444294,23580444294,23580444294,2.27173E-06
KCC_RICE_US_NE_Background4621_Loc001_55_R00100_FFE,9.00939E+18,55679,42199482374,5735464141,5714993393,5714993393,5714993393,1.87264E-06
KCC_RICE_US_NE_Background4672_Loc001_55_R00100_FFE,9.00939E+18,131311,35574536350,10025912115,9899727083,9899727083,9899727083,1.27401E-06
KCC_RICE_US_NE_Background4769_Loc001_55_R00100_FFE,9.00939E+18,85303,30701546905,12545255282,12464540887,12464540887,12464540887,5.81746E-06
KCC_RICE_US_NE_Background4704_Loc001_55_R00100_FFE,9.00939E+18,38629,13880269630,7506699153,7466006629,7466006629,7466006629,2.11823E-06
KCC_RICE_US_NE_Background4709_Loc001_55_R00100_FFE,9.00939E+18,24467,6714641500,65559588.6,59777870.2,59777870.2,59777870.2,2.9164E-06
