EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_IMW_Background13070_Loc001_70_R00250_FFE,9.00939E+18,233996,72308205040,7921188745,7781828804,7781828804,7781828804,4.30404E-06
KCC_RICE_US_IMW_Background13204_Loc001_70_R00250_FFE,9.00939E+18,99756,29351489580,5409213178,5355970377,5355970377,5355970377,4.30404E-06
KCC_RICE_US_IMW_Background13205_Loc001_70_R00250_FFE,9.00939E+18,140227,46634151460,4902317256,4845533420,4845533420,4845533420,4.1084E-06
KCC_RICE_US_IMW_Background13339_Loc001_70_R00250_FFE,9.00939E+18,115098,41775644360,5795890524,5690478854,5690478854,5690478854,4.1084E-06
KCC_RICE_US_IMW_Background13342_Loc001_72_R01000_FFE,9.00939E+18,52822,9803505600,1892356050,1851002870,1851002870,1851002870,4.14062E-07
KCC_RICE_US_IMW_Background1381_Loc001_72_R01000_FFE,9.00939E+18,60522,10579327600,798671.671,562397.95,562397.95,562397.95,3.10546E-07
KCC_RICE_US_IMW_Background14056_Loc001_72_R01000_FFE,9.00939E+18,214196,43630859300,2369328124,2289118681,2289118681,2289118681,1.03515E-07
KCC_RICE_US_IMW_Background14057_Loc001_72_R01000_FFE,9.00939E+18,856027,1.72676E+11,14256765181,13866660363,13866660363,13866660363,1.03515E-07
KCC_RICE_US_IMW_Background14205_Loc001_72_R01000_FFE,9.00939E+18,410787,84713480440,4399879172,4244573984,4244573984,4244573984,1.03515E-07
KCC_RICE_US_IMW_Background14208_Loc001_72_R01000_FFE,9.00939E+18,349768,73548998180,7222837872,7069727384,7069727384,7069727384,1.03515E-07
KCC_RICE_US_IMW_Background14383_Loc001_70_R00250_FFE,9.00939E+18,52691,13839754500,18098732.35,13561276.68,13561276.68,13561276.68,1.95638E-07
KCC_RICE_US_IMW_Background14557_Loc001_71_R00500_FFE,9.00939E+18,536616,2.30356E+11,8832693647,8577807007,8577807007,8577807007,3.01047E-07
KCC_RICE_US_IMW_Background14558_Loc001_71_R00500_FFE,9.00939E+18,504447,93319857722,8776866874,8602047506,8602047506,8602047506,3.01047E-07
KCC_RICE_US_IMW_Background14556_Loc001_71_R00500_FFE,9.00939E+18,320565,79585577630,2022059054,1952425522,1952425522,1952425522,2.73679E-07
KCC_RICE_US_IMW_Background14736_Loc001_71_R00500_FFE,9.00939E+18,200018,40648484780,1760053153,1706245110,1706245110,1706245110,4.10519E-07
KCC_RICE_US_IMW_Background14822_Loc001_71_R00500_FFE,9.00939E+18,238476,54787661900,1391745622,1318395545,1318395545,1318395545,2.73679E-07
KCC_RICE_US_IMW_Background14823_Loc001_71_R00500_FFE,9.00939E+18,172914,43104157000,1967761680,1881063190,1881063190,1881063190,3.83151E-07
KCC_RICE_US_IMW_Background14939_Loc001_72_R01000_FFE,9.00939E+18,434033,1.02066E+11,17788280304,17507477706,17507477706,17507477706,4.14062E-07
KCC_RICE_US_IMW_Background15008_Loc001_72_R01000_FFE,9.00939E+18,305046,73128076600,17400651560,17132819120,17132819120,17132819120,3.10546E-07
KCC_RICE_US_IMW_Background15007_Loc001_72_R01000_FFE,9.00939E+18,186010,46034496270,130796932.9,113626023.9,113626023.9,113626023.9,4.14062E-07
KCC_RICE_US_IMW_Background15075_Loc001_72_R01000_FFE,9.00939E+18,104309,21224616140,1224483383,1166687714,1166687714,1166687714,3.10546E-07
KCC_RICE_US_IMW_Background15074_Loc001_72_R01000_FFE,9.00939E+18,205565,55058583170,1558179535,1469615784,1469615784,1469615784,3.10546E-07
KCC_RICE_US_IMW_Background1509_Loc001_71_R00500_FFE,9.00939E+18,60522,10579327600,4318742080,4264151290,4264151290,4264151290,1.64208E-07
KCC_RICE_US_IMW_Background1519_Loc001_72_R01000_FFE,9.00939E+18,29633,4913199402,69421555.53,62206940.11,62206940.11,62206940.11,1.03515E-07
KCC_RICE_US_IMW_Background15465_Loc001_71_R00500_FFE,9.00939E+18,228401,63661168460,4834745844,4722399847,4722399847,4722399847,1.91575E-07
KCC_RICE_US_IMW_Background15721_Loc001_68_R00100_FFE,9.00939E+18,48358,9985766337,5471545.071,4135560.046,4135560.046,4135560.046,4.8608E-07
KCC_RICE_US_IMW_Background15706_Loc001_71_R00500_FFE,9.00939E+18,44539,9216316340,4013664.673,2308077.853,2308077.853,2308077.853,2.46311E-07
KCC_RICE_US_IMW_Background15822_Loc001_71_R00500_FFE,9.00939E+18,52822,9803505600,441062791,415225094,415225094,415225094,1.91575E-07
KCC_RICE_US_IMW_Background15870_Loc001_68_R00100_FFE,9.00939E+18,226439,68866294287,1731462786,1659303806,1659303806,1659303806,4.8608E-07
KCC_RICE_US_IMW_Background15869_Loc001_68_R00100_FFE,9.00939E+18,120134,59956564987,63655616.49,56874089.08,56874089.08,56874089.08,7.6384E-07
KCC_RICE_US_IMW_Background16195_Loc001_68_R00100_FFE,9.00939E+18,47501,14562196000,801504.551,525727.06,525727.06,525727.06,6.15702E-06
KCC_RICE_US_IMW_Background16194_Loc001_68_R00100_FFE,9.00939E+18,177474,50941835140,451912391.7,426926925.3,426926925.3,426926925.3,6.52736E-06
KCC_RICE_US_IMW_Background16169_Loc001_68_R00100_FFE,9.00939E+18,416319,1.67827E+11,9346663560,9184294107,9184294107,9184294107,4.62934E-07
KCC_RICE_US_IMW_Background13071_Loc001_70_R00250_FFE,9.00939E+18,47501,14562196000,801504.551,525727.06,525727.06,525727.06,4.1084E-06
KCC_RICE_US_IMW_Background12938_Loc001_72_R01000_FFE,9.00939E+18,36410,12758640840,135433439.6,128656135.4,128656135.4,128656135.4,4.14062E-07
KCC_RICE_US_IMW_Background12338_Loc001_72_R01000_FFE,9.00939E+18,859179,2.35225E+11,22513759987,22035618087,22035618087,22035618087,6.21093E-07
KCC_RICE_US_IMW_Background12258_Loc001_72_R01000_FFE,9.00939E+18,250173,43694326390,1663732502,1593234966,1593234966,1593234966,8.28124E-07
KCC_RICE_US_IMW_Background12174_Loc001_72_R01000_FFE,9.00939E+18,329902,69732864830,7829247214,7671556541,7671556541,7671556541,7.24608E-07
KCC_RICE_US_IMW_Background12091_Loc001_72_R01000_FFE,9.00939E+18,66953,13849657400,24119564.54,21138870.64,21138870.64,21138870.64,8.28124E-07
KCC_RICE_US_IMW_Background11840_Loc001_70_R00250_FFE,9.00939E+18,84514,23527220560,11029164.53,8139227.26,8139227.26,8139227.26,3.07432E-07
KCC_RICE_US_IMW_Background11706_Loc001_70_R00250_FFE,9.00939E+18,115067,32524110370,1409093857,1350597501,1350597501,1350597501,4.47173E-07
KCC_RICE_US_IMW_Background11571_Loc001_70_R00250_FFE,9.00939E+18,45764,8012080620,5585656.688,3829361.368,3829361.368,3829361.368,4.47173E-07
KCC_RICE_US_IMW_Background11519_Loc001_70_R00250_FFE,9.00939E+18,42789,10677307800,12106619.57,9373546.05,9373546.05,9373546.05,7.54605E-07
KCC_RICE_US_IMW_Background11387_Loc001_70_R00250_FFE,9.00939E+18,71074,27592815800,21988384.6,16784493.27,16784493.27,16784493.27,7.82553E-07
KCC_RICE_US_IMW_Background11386_Loc001_70_R00250_FFE,9.00939E+18,297064,1.27667E+11,19153789300,18905127331,18905127331,18905127331,7.54605E-07
KCC_RICE_US_IMW_Background11252_Loc001_70_R00250_FFE,9.00939E+18,193259,76993778260,7590214220,7476728197,7476728197,7476728197,6.14863E-07
KCC_RICE_US_IMW_Background11253_Loc001_70_R00250_FFE,9.00939E+18,22832,5360465500,25951033.72,22678251.81,22678251.81,22678251.81,6.42811E-07
KCC_RICE_US_IMW_Background10928_Loc001_71_R00500_FFE,9.00939E+18,351101,94850657240,58745753.05,47207832.94,47207832.94,47207832.94,1.91575E-07
KCC_RICE_US_IMW_Background10827_Loc001_71_R00500_FFE,9.00939E+18,99756,29351489580,5393943523,5340701711,5340701711,5340701711,2.59995E-06
KCC_RICE_US_IMW_Background10807_Loc001_71_R00500_FFE,9.00939E+18,670735,2.32838E+11,7007676448,6842752169,6842752169,6842752169,1.64208E-07
KCC_RICE_US_IMW_Background10806_Loc001_71_R00500_FFE,9.00939E+18,72101,17661951820,157252002.2,143046772.6,143046772.6,143046772.6,2.73679E-07
KCC_RICE_US_IMW_Background10828_Loc001_71_R00500_FFE,9.00939E+18,140227,46634151460,4885695378,4830114406,4830114406,4830114406,2.43575E-06
KCC_RICE_US_IMW_Background10706_Loc001_71_R00500_FFE,9.00939E+18,41180,8942215120,2237986.737,1594000.797,1594000.797,1594000.797,2.38101E-06
KCC_RICE_US_IMW_Background10687_Loc001_71_R00500_FFE,9.00939E+18,289116,72126185877,798668592.1,742105468.8,742105468.8,742105468.8,1.64208E-07
KCC_RICE_US_CA_Background3510_Loc001_68_R00050_FFE,9.00939E+18,29173,7489406000,3264256470,3230954980,3230954980,3230954980,1.56888E-05
KCC_RICE_US_CA_Background1956_Loc001_72_R00250_FFE,9.00939E+18,29173,7489406000,3264256470,3230954980,3230954980,3230954980,5.3464E-06
KCC_RICE_US_CA_Background1696_Loc001_74_R01000_FFE,9.00939E+18,88110,15873161300,6358255880,6275654060,6275654060,6275654060,1.81938E-06
KCC_RICE_US_IMW_Background16318_Loc001_68_R00100_FFE,9.00939E+18,338910,1.40626E+11,2568946738,2480236854,2480236854,2480236854,4.62934E-07
KCC_RICE_US_IMW_Background16444_Loc001_71_R00500_FFE,9.00939E+18,5558,2383307310,265841.6928,222805.7612,222805.7612,222805.7612,1.3684E-07
KCC_RICE_US_IMW_Background16680_Loc001_71_R00500_FFE,9.00939E+18,460292,1.5501E+11,39918162987,39540247688,39540247688,39540247688,1.3684E-07
KCC_RICE_US_IMW_Background16681_Loc001_71_R00500_FFE,9.00939E+18,165868,73842872840,4290020020,4194976951,4194976951,4194976951,1.3684E-07
