EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_SE_Background1743_Loc001_60_R00100_FFE,9.00939E+18,204899,74788672312,26549367290,26324076387,26324076387,26324076387,1.4765E-05
KCC_RICE_US_SE_Background4879_Loc001_60_R00100_FFE,9.00939E+18,33548,5908038680,3087910950,3056501680,3056501680,3056501680,9.38305E-07
KCC_RICE_US_SE_Background394_Loc001_64_R01000_FFE,9.00939E+18,25432,7104590580,1503926.64,1064744.01,1064744.01,1064744.01,4.09836E-07
KCC_RICE_US_SE_Background0_Loc001_65_R00500_FFE,9.00939E+18,25,405784636,12817310.73,12749810.73,12749810.73,12749810.73,1.71806E-06
KCC_RICE_US_SE_Background839_Loc001_64_R01000_FFE,9.00939E+18,38102,6807877900,3277332660,3242482170,3242482170,3242482170,1.59016E-06
KCC_RICE_US_SE_Background341_Loc001_65_R00500_FFE,9.00939E+18,72112,24576576320,5564552820,5499280110,5499280110,5499280110,3.3721E-06
KCC_RICE_US_SE_Background0_Loc001_68_R01000_FFE,9.00939E+18,102047,27895806136,10196695249,10090802979,10090802979,10090802979,1.88525E-06
KCC_RICE_US_SE_Background304_Loc001_68_R01000_FFE,9.00939E+18,126208,36575854720,11823735944,11719862915,11719862915,11719862915,3.59016E-06
KCC_RICE_US_SE_Background258_Loc001_68_R01000_FFE,9.00939E+18,250431,76252444312,20296981883,20095683172,20095683172,20095683172,3.55738E-06
KCC_RICE_US_NMSZ_Background102_Loc001_70_R01000_FFE,9.00939E+18,171944,47034037700,21451053586,21268792041,21268792041,21268792041,5.80073E-07
KCC_RICE_US_NMSZ_Background1060_Loc001_70_R01000_FFE,9.00939E+18,370775,1.02752E+11,26374515537,26065342437,26065342437,26065342437,8.12102E-06
KCC_RICE_US_NMSZ_Background1037_Loc001_60_R00500_FFE,9.00939E+18,191159,67829602784,20008070583,19872401553,19872401553,19872401553,3.40336E-07
KCC_RICE_US_NMSZ_Background1039_Loc001_60_R00500_FFE,9.00939E+18,174743,44281652320,22109913096,21955311175,21955311175,21955311175,2.26891E-07
