EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_PNW_Background349_Loc001_68_R00050_FFE,9.00939E+18,406280,1.79691E+11,11516756734,11303498713,11303498713,11303498713,8.87299E-05
KCC_RICE_US_PNW_Background1422_Loc001_68_R00050_FFE,9.00939E+18,52096,8204578860,159745096.6,146876529.9,146876529.9,146876529.9,3.22785E-06
KCC_RICE_US_PNW_Background396_Loc001_70_R00100_FFE,9.00939E+18,129439,36406956427,146450131.8,131609382.5,131609382.5,131609382.5,2.80121E-05
KCC_RICE_US_PNW_Background729_Loc001_70_R00100_FFE,9.00939E+18,80575,18341803820,149300063.8,135983843.1,135983843.1,135983843.1,1.41379E-05
KCC_RICE_US_PNW_Background840_Loc001_70_R00100_FFE,9.00939E+18,243307,90598450520,3581495479,3470141838,3470141838,3470141838,1.42943E-05
KCC_RICE_US_PNW_Background951_Loc001_70_R00100_FFE,9.00939E+18,122668,33895151616,2903508890,2845727011,2845727011,2845727011,8.29985E-06
KCC_RICE_US_PNW_Background274_Loc001_71_R00250_FFE,9.00939E+18,74504,19717206500,2216935.851,1860617.145,1860617.145,1860617.145,1.3953E-05
KCC_RICE_US_PNW_Background224_Loc001_72_R00500_FFE,9.00939E+18,31648,11388327480,46475540.78,43264098.1,43264098.1,43264098.1,2.39168E-05
KCC_RICE_US_PNW_Background261_Loc001_72_R00500_FFE,9.00939E+18,101597,41603379200,1535131426,1493749131,1493749131,1493749131,2.42663E-05
KCC_RICE_US_PNW_Background520_Loc001_72_R00500_FFE,9.00939E+18,355694,81823550260,5574936215,5466333591,5466333591,5466333591,1.17783E-05
KCC_RICE_US_PNW_Background557_Loc001_72_R00500_FFE,9.00939E+18,583378,1.8898E+11,35590703190,35222642621,35222642621,35222642621,1.17998E-05
KCC_RICE_US_PNW_Background631_Loc001_72_R00500_FFE,9.00939E+18,121972,29114799216,6624082095,6536460562,6536460562,6536460562,6.42707E-06
KCC_RICE_US_PNW_SouthernWhidbeyIslandfault-middle60_Loc001_04_R05000_FFE,9.00939E+18,95476,23670761460,1529464670,1479376681,1479376681,1479376681,7.8125E-06
KCC_RICE_US_PNW_CascadiaSub1MidGR_Loc002_01_R01000_FFE,9.00939E+18,1679,538132254,374880251,372619681,372619681,372619681,6.66667E-05
KCC_RICE_US_IMW_Background2853_Loc001_71_R00500_FFE,9.00939E+18,56009,13172529600,4653553250,4599276320,4599276320,4599276320,2.46311E-07
KCC_RICE_US_IMW_Background3038_Loc001_65_R00050_FFE,9.00939E+18,81315,21151195600,55186075.56,47410130.26,47410130.26,47410130.26,1.20363E-06
KCC_RICE_US_PNW_Background378_Loc001_68_R00050_FFE,9.00939E+18,119683,70644461561,4963619199,4913332452,4913332452,4913332452,9.10387E-05
KCC_RICE_US_PNW_Background277_Loc001_70_R00100_FFE,9.00939E+18,654733,3.7535E+11,22876967192,22513837633,22513837633,22513837633,2.90398E-05
KCC_RICE_US_PNW_Background351_Loc001_70_R00100_FFE,9.00939E+18,92876,41707326940,6264587960,6211303087,6211303087,6211303087,3.08516E-05
KCC_RICE_US_PNW_Background795_Loc001_70_R00100_FFE,9.00939E+18,537433,1.94562E+11,2512209454,2385992080,2385992080,2385992080,1.48809E-05
KCC_RICE_US_PNW_Background192_Loc001_71_R00250_FFE,9.00939E+18,79819,17341796820,316558124,296004153.9,296004153.9,296004153.9,1.71103E-05
KCC_RICE_US_PNW_Background1006_Loc001_71_R00250_FFE,9.00939E+18,129599,33922915500,7028841759,6926086364,6926086364,6926086364,6.56067E-08
KCC_RICE_US_PNW_Background164_Loc001_73_R01000_FFE,9.00939E+18,38374,6722333210,855285700,831100171,831100171,831100171,1.78882E-05
KCC_RICE_US_PNW_Background201_Loc001_73_R01000_FFE,9.00939E+18,307367,1.1907E+11,1420737170,1367928947,1367928947,1367928947,2.00433E-05
KCC_RICE_US_PNW_Background423_Loc001_73_R01000_FFE,9.00939E+18,110424,25375606460,302377548.8,283560900.8,283560900.8,283560900.8,7.48183E-06
KCC_RICE_US_PNW_Background682_Loc001_73_R01000_FFE,9.00939E+18,258660,61232749460,12117120612,11913216124,11913216124,11913216124,1.86692E-07
