EventName,ID,LocationCount,TIV,Loss_GU,Loss_GR,Loss_RF,Loss_RL,EventRate
KCC_RICE_US_CA_SanGabriel_Loc001_01_R05000_FFE,9.00939E+18,129802,48002031960,5483374697,5443963312,5443963312,5443963312,2.6485E-05
KCC_RICE_US_CA_Elsinore(GlenIvy)rev_Loc002_01_R02500_FFE,9.00939E+18,203639,43900137210,2663173559,2593921505,2593921505,2593921505,9.12877E-06
"KCC_RICE_US_CA_Whittier,alt1_Loc003_01_R05000_FFE",9.00939E+18,1336941,4.49751E+11,32597635476,31963325568,31963325568,31963325568,1.44874E-05
KCC_RICE_US_CA_SierraMadre_Loc001_01_R05000_FFE,9.00939E+18,463433,1.43486E+11,1064696607,1004093472,1004093472,1004093472,3.83504E-05
KCC_RICE_US_CA_SanAndreas(SanBernardinoS)_Loc002_01_R00500_FFE,9.00939E+18,14418,4740010730,920681.2063,729566.7761,729566.7761,729566.7761,5.15042E-05
KCC_RICE_US_CA_Ventura-PitasPoint_Loc003_01_R02500_FFE,9.00939E+18,231578,57628246808,2229257913,2154056355,2154056355,2154056355,2.34955E-05
"KCC_RICE_US_CA_SantaSusana,alt2_Loc001_01_R05000_FFE",9.00939E+18,46122,12062804500,4575234.251,3808873.176,3808873.176,3808873.176,2.69576E-05
KCC_RICE_US_CA_SanJacinto(SuperstitionMtn)_Loc002_01_R02500_FFE,9.00939E+18,115739,28359165920,142373662,126413633.4,126413633.4,126413633.4,6.24508E-06
"KCC_RICE_US_CA_Whittier,alt1_Loc002_01_R02500_FFE",9.00939E+18,602837,1.62017E+11,8637364912,8433027303,8433027303,8433027303,1.71406E-05
KCC_RICE_US_CA_OakRidge(Onshore)_Loc002_01_R01000_FFE,9.00939E+18,181207,45402748318,5685225322,5624237479,5624237479,5624237479,0.000155861
"KCC_RICE_US_CA_SantaMonica,alt1_Loc001_01_R05000_FFE",9.00939E+18,500218,2.73618E+11,48945420178,48536416377,48536416377,48536416377,3.24723E-05
KCC_RICE_US_CA_Simi-SantaRosa_Loc003_01_R05000_FFE,9.00939E+18,214801,78647105250,597087038.6,577345542,577345542,577345542,3.44416E-05
KCC_RICE_US_CA_PuenteHills_Loc001_01_R02500_FFE,9.00939E+18,829150,3.03534E+11,785997523.4,719738492.9,719738492.9,719738492.9,0.000163235
KCC_RICE_US_CA_Raymond_Loc003_01_R05000_FFE,9.00939E+18,770065,2.51369E+11,8178953392,7891498756,7891498756,7891498756,1.50638E-05
KCC_RICE_US_CA_ElysianPark(Upper)_Loc001_01_R02500_FFE,9.00939E+18,578230,1.75071E+11,1652557557,1537610051,1537610051,1537610051,8.25823E-05
"KCC_RICE_US_CA_MalibuCoast,alt1_Loc002_01_R05000_FFE",9.00939E+18,163498,62938039440,754428007.4,711640039.2,711640039.2,711640039.2,1.05999E-05
KCC_RICE_US_CA_PalosVerdes_Loc001_01_R05000_FFE,9.00939E+18,474660,1.86361E+11,26948491294,26678705980,26678705980,26678705980,0.000118574
KCC_RICE_US_CA_Northridge_Loc003_01_R02500_FFE,9.00939E+18,39530,10311999280,126944148,119321222.5,119321222.5,119321222.5,1.65341E-05
"KCC_RICE_US_CA_Newport-Inglewood,alt2_Loc002_01_R02500_FFE",9.00939E+18,1255940,3.42453E+11,28913583023,28350278727,28350278727,28350278727,1.54192E-05
"KCC_RICE_US_CA_Newport-Inglewood,alt2_Loc003_02_R02500_FFE",9.00939E+18,673706,2.60899E+11,41174395278,40735650369,40735650369,40735650369,1.54192E-05
